"Gross Average Monthly Wages by Country and Year"

"Indicator";"Country";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016"
"US$, at current Exchange Rates";"Israel";1140.3;1165.4;1222.0;1184.8;1283.3;1431.9;1527.7;1577.7;1541.8;1527.4;1665.6;1681.6;1482.3;1506.1;1561.8;1608.6;1675.6;1856.8;2207.6;2027.8;2205.7;2393.2;2278.0;2492.6;2556.0;2404.8;2488.7
"US$, at current Exchange Rates";"Italy";1483.0;1555.8;1725.5;1614.9;1702.4;1942.8;1983.4;1851.6;1869.3;1830.5;1635.4;1636.0;1769.0;2176.7;2499.5;2574.9;2686.9;2998.8;3320.9;3155.4;3071.5;3272.0;3000.4;3145.6;3169.8;2671.7;2685.5
"US$, at current Exchange Rates";"Kazakhstan";..;..;..;..;48.6;78.5;101.6;113.2;123.7;99.3;101.1;117.9;132.6;154.6;208.2;256.3;323.5;428.2;505.4;456.5;526.7;614.0;679.1;717.4;675.4;568.4;418.1
"US$, at current Exchange Rates";"Kyrgyzstan";..;..;..;..;..;..;..;..;40.3;26.9;25.7;30.1;35.9;43.9;52.5;63.7;81.4;106.4;147.0;143.6;156.4;201.6;228.2;234.1;229.0;209.2;207.1
"US$, at current Exchange Rates";"Latvia";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;435.4;539.9;775.7;1003.1;913.6;839.2;918.7;880.1;950.9;1016.3;907.6;950.8
"US$, at current Exchange Rates";"Lithuania";..;..;..;..;..;182.2;227.3;255.6;301.9;304.8;259.7;254.8;277.6;351.4;414.1;459.8;543.9;715.4;916.6;830.6;763.3;826.7;785.3;855.8;897.7;791.6;856.3
"US$, at current Exchange Rates";"Luxembourg";2848.9;2956.0;3236.0;3111.6;3298.8;3682.4;3678.9;3382.8;3408.9;3380.5;3123.9;3116.2;3407.2;4141.5;4721.0;4891.5;5130.7;5860.1;6458.6;6265.4;6087.5;6489.2;6058.6;6435.9;6584.2;5572.6;5567.8
"US$, at current Exchange Rates";"Malta";..;..;..;..;..;..;1522.6;1417.8;1469.4;1466.4;941.2;962.0;1032.7;1294.0;1445.3;1485.7;1558.6;1752.0;1923.7;2418.9;2100.8;2262.0;..;..;..;..;..
"US$, at current Exchange Rates";"Moldova, Republic of";..;..;..;..;..;31.8;40.6;47.5;46.6;29.0;32.8;42.3;51.0;63.9;89.5;104.7;129.2;170.1;243.5;247.4;240.3;259.1;279.6;291.9;291.4;241.2;..
"US$, at current Exchange Rates";"Montenegro";..;..;..;..;..;..;..;..;..;..;..;..;..;306.6;376.7;406.2;543.7;681.1;895.7;896.9;947.9;1005.0;934.0;964.2;960.5;804.4;831.3
